"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"4","sd","pabp","1","1.1","Terbiasa membaca Al-Qur'an dengan tartil.",
"4","sd","pabp","2","2.1","Menunjukkan sikap kerja sama dan peduli sebagai implementasi pemahaman makna Q.S. Al-Falaq dan Q.S. Al-Fil.",
"4","sd","pabp","3","3.1","Memahami Q.S. Al-Falaq dan Q.S. Al-Fil dengan baik dan benar.",
"4","sd","pabp","4","4.1.1","Membaca Q.S. Al-Falaq dan Q.S. Al-Fil dengan tartil.",
"4","sd","pabp","4","4.1.2","Menulis kalimat-kalimat dalam Q.S. Al-Falaq dan Q.S. Al Fil dengan benar",
"4","sd","pabp","4","4.1.3","Menunjukkan  hafalan Q.S. Al-Falaq dan Q.S. Al-Fil dengan lancar.",
"4","sd","pabp","1","1.2","Meyakini Allah Swt. itu ada melalui pengamatan ter- hadap makhluk ciptaan-Nya di sekitar rumah dan sekolah.",
"4","sd","pabp","1","1.3","Meyakini adanya Allah Swt. Yang Maha Melihat, Maha- adil, dan Mahaagung.",
"4","sd","pabp","1","1.5","Meyakini adanya rasul-rasul Allah Swt.",
"4","sd","pabp","2","2.2","Menunjukkan sikap percaya diri sebagai implementasi pemahaman Allah Swt. itu ada.",
"4","sd","pabp","2","2.3","Menunjukkan sikap hati-hati, hormat, dan kerja sama sebagai implementasi pemahaman makna al-asmau al-husna: Al-Basir, Al-'Adl, dan Al-'Azim.",
"4","sd","pabp","2","2.5","Menunjukkan sikap yang dipengaruhi oleh keimanan kepada para rasul Allah Swt. yang tecermin dari perilaku kehidupan sehari-hari.",
"4","sd","pabp","3","3.2","Memahami Allah Swt. itu ada melalui pengamatan terhadap makhluk ciptaan-Nya di sekitar rumah dan sekolah.",
"4","sd","pabp","3","3.3","Memahami  makna  al-asmau  al-husna:  Al-Basir,  Al-'Adl dan 'Al 'Azim",
"4","sd","pabp","3","3.5","Memahami makna iman kepada rasul Allah Swt.",
"4","sd","pabp","4","4.2","Melakukan pengamatan terhadap makhluk ciptaan Allah Swt. di sekitar rumah dan sekolah sebagai upaya mengenal Allah Swt. itu ada.",
"4","sd","pabp","4","4.3","Membaca al-asmau al-husna: Al-Basir, Al-'Adl, dan Al-'Azim dengan jelas dan benar",
"4","sd","pabp","4","4.5","Mencontohkan makna iman kepada rasul Allah Swt.",
"4","sd","pabp","1","1.6","Meyakini bahwa sikap santun dan menghargai teman sebagai cerminan dari iman.",
"4","sd","pabp","1","1.9","Meyakini bahwa perilaku jujur sebagai cerminan dari iman.",
"4","sd","pabp","1","1.10","Meyakini bahwa perilaku amanah sebagai cerminan dari iman.",
"4","sd","pabp","1","1.11","Meyakini  bahwa  perilaku  hormat  dan  patuh  kepada orang tua dan guru sebagai cerminan dari iman.",
"4","sd","pabp","1","1.20","Meyakini kebenaran kisah Nabi Muhammad saw.",
"4","sd","pabp","2","2.6","Menunjukkan sikap santun dan menghargai teman.",
"4","sd","pabp","2","2.9","Menunjukkan  perilaku jujur dalam kehidupan  sehari- hari.",
"4","sd","pabp","2","2.10","Menunjukkan   perilaku   amanah   dalam   kehidupan sehari-hari.",
"4","sd","pabp","2","2.11","Menunjukkan perilaku hormat dan patuh kepada orang tua dan guru.",
